Filename,site,Prefix,N_column,S_column,Start_year,End_year,N_years,Mean
ak056.rwl.csv,ak056,ARRC76,ARRC76N,ARRC76S,1901,2000,100,1.094387972
ak056.rwl.csv,ak056,ARRC79,ARRC79N,ARRC79S,1901,1985,85,0.952943374
ak056.rwl.csv,ak056,ARRC107,ARRC107N,ARRC107S,1901,2000,100,0.560739272
ak056.rwl.csv,ak056,ARRC74,ARRC74N,ARRC74S,1901,2000,100,0.927599163
ak056.rwl.csv,ak056,ARRC99A,ARRC99AN,ARRC99AS,1901,1968,68,0.833605489
ak056.rwl.csv,ak056,ARRC88,ARRC88N,ARRC88S,1901,1981,81,0.843717748
ak056.rwl.csv,ak056,ARRC113,ARRC113N,ARRC113S,1901,2000,100,1.01205459
ak056.rwl.csv,ak056,ARRC80,ARRC80N,ARRC80S,1936,2000,65,1.23359767
ak056.rwl.csv,ak056,ARRC81,ARRC81N,ARRC81S,1901,2000,100,1.018602755
ak092.rwl.csv,ak092,BC63,BC63N,BC63S,1901,1993,93,1.086445161
ak096.rwl.csv,ak096,WS1,WS1N,WS1S,1901,1989,89,0.949913845
ak096.rwl.csv,ak096,WS5,WS5N,WS5S,1901,1989,89,1.288448498
ak097.rwl.csv,ak097,WR35,WR35N,WR35S,1901,1940,40,0.534787733
ak100.rwl.csv,ak100,BB37,BB37N,BB37S,1901,1991,91,1.425284123
ak100.rwl.csv,ak100,BB40,BB40N,BB40S,1901,1999,99,0.796732051
ak104.rwl.csv,ak104,DA02,DA02N,DA02S,1901,1980,80,1.143643098
ak104.rwl.csv,ak104,DA28,DA28N,DA28S,1901,1949,49,0.85949128
ak104.rwl.csv,ak104,DA38,DA38N,DA38S,1901,2000,100,1.366569487
ak104.rwl.csv,ak104,DA62,DA62N,DA62S,1901,2000,100,0.945011993
ak107.rwl.csv,ak107,GN10,GN10N,GN10S,1901,2000,100,1.154763534
ak112.rwl.csv,ak112,WS1,WS1N,WS1S,1901,1989,89,0.949913845
ak112.rwl.csv,ak112,WS5,WS5N,WS5S,1901,1989,89,1.288448498
ak113.rwl.csv,ak113,DA38,DA38N,DA38S,1901,2000,100,1.366569487
ak113.rwl.csv,ak113,DA62,DA62N,DA62S,1901,2000,100,0.945011993
ak113.rwl.csv,ak113,DA02,DA02N,DA02S,1901,1980,80,1.143643098
